     0.00    178.00    0.00
     0.05    177.30   24.61
     0.10    175.83   32.32
     0.15    174.15   33.74
     0.20    172.49   33.94
     0.25    170.73   33.96
     0.30    169.10   33.93
     0.35    167.34   33.91
     0.40    165.55   33.87
     0.45    164.02   33.85
     0.50    162.33   33.82
     0.56    160.45   33.78
     0.61    158.72   33.75
     0.65    157.23   33.71
     0.71    155.23   33.68
     0.75    153.92   33.65
     0.80    152.09   33.62
     0.86    150.16   33.59
     0.91    148.55   33.55
     0.96    146.95   33.55
     1.01    145.16   33.49


    Run ID:  50
    Theoretical:  34.43
    Experimental: 29.88
    Simulated:    33.49
