     0.00    178.00    0.00
     0.05    177.48   18.24
     0.10    176.40   23.06
     0.15    175.22   23.71
     0.20    174.06   23.63
     0.25    172.84   23.49
     0.30    171.71   23.42
     0.35    170.50   23.31
     0.40    169.27   23.28
     0.45    168.22   23.28
     0.50    167.06   23.22
     0.56    165.76   23.24
     0.61    164.57   23.22
     0.65    163.55   23.22
     0.71    162.16   23.23
     0.75    161.26   23.22
     0.80    160.00   23.23
     0.86    158.66   23.23
     0.91    157.55   23.24
     0.96    156.44   23.25
     1.01    155.20   23.26


    Run ID:  25
    Theoretical:  24.27
    Experimental: 22.42
    Simulated:    23.26
