     0.00    178.00    0.00
     0.05    177.62   12.11
     0.10    176.97   13.23
     0.15    176.30   13.12
     0.20    175.66   12.96
     0.25    175.00   12.85
     0.30    174.38   12.75
     0.35    173.72   12.67
     0.40    173.05   12.65
     0.45    172.48   12.66
     0.50    171.85   12.64
     0.56    171.15   12.63
     0.61    170.50   12.62
     0.65    169.94   12.62
     0.71    169.19   12.63
     0.75    168.70   12.62
     0.80    168.01   12.62
     0.86    167.29   12.62
     0.91    166.68   12.62
     0.96    166.08   12.63
     1.01    165.41   12.63


    Run ID:  75
    Theoretical:  13.62
    Experimental: 13.07
    Simulated:    12.63
