     0.00    178.00    0.00
     0.05    177.42   19.41
     0.10    176.33   22.87
     0.15    175.17   23.04
     0.20    174.04   22.80
     0.25    172.87   22.59
     0.30    171.79   22.43
     0.35    170.63   22.25
     0.40    169.45   22.14
     0.45    168.46   22.06
     0.50    167.36   21.95
     0.56    166.14   21.89
     0.61    165.02   21.83
     0.65    164.05   21.78
     0.71    162.76   21.75
     0.75    161.92   21.72
     0.80    160.73   21.69
     0.86    159.49   21.67
     0.91    158.45   21.65
     0.96    157.41   21.65
     1.01    156.26   21.64


    Run ID: 100
    Theoretical:  23.52
    Experimental: 21.83
    Simulated:    21.64
