0.91	0.300000	0.2	2.7	0.00E+00	0.00E+00
1.35	0.300000	0.2	2.7	0.00E+00	0.00E+00
1.79	0.300000	0.2	2.7	0.00E+00	0.00E+00
2.23	0.300000	0.2	2.7	0.00E+00	0.00E+00
2.67	0.300000	0.2	2.7	0.00E+00	0.00E+00
3.11	0.300000	0.2	2.7	0.00E+00	0.00E+00
3.55	0.300000	0.2	2.7	0.00E+00	0.00E+00
3.99	0.300000	0.2	2.7	0.00E+00	0.00E+00
4.43	0.300000	0.2	2.7	0.00E+00	0.00E+00
4.87	0.300000	0.2	2.7	0.00E+00	0.00E+00
5.31	0.300000	0.2	2.7	0.00E+00	0.00E+00
5.75	0.300000	0.2	2.7	0.00E+00	0.00E+00
6.19	0.300000	0.2	2.7	0.00E+00	0.00E+00
6.63	0.300000	0.2	2.7	0.00E+00	0.00E+00
7.07	0.300000	0.2	2.7	0.00E+00	0.00E+00
7.51	0.300000	0.2	2.7	0.00E+00	0.00E+00
7.95	0.300000	0.2	2.7	0.00E+00	0.00E+00
8.39	0.300000	0.2	2.7	0.00E+00	0.00E+00
8.83	0.300000	0.2	2.7	0.00E+00	0.00E+00
9.27	0.300000	0.2	2.7	0.00E+00	0.00E+00
9.71	0.300000	0.2	2.7	0.00E+00	0.00E+00
10.15	0.300000	0.2	2.7	0.00E+00	0.00E+00
10.59	0.300000	0.2	2.7	0.00E+00	0.00E+00
11.03	0.300000	0.2	2.7	0.00E+00	0.00E+00
11.47	0.300000	0.2	2.7	0.00E+00	0.00E+00
11.91	0.300000	0.2	2.7	0.00E+00	0.00E+00
12.35	0.300000	0.2	2.7	0.00E+00	0.00E+00
12.79	0.300000	0.2	2.7	0.00E+00	0.00E+00
13.23	0.300000	0.2	2.7	0.00E+00	0.00E+00
13.67	0.300000	0.2	2.7	0.00E+00	0.00E+00
14.11	0.300000	0.2	2.7	0.00E+00	0.00E+00
0.69	1.121051	0.2	2.7	0.00E+00	0.00E+00
1.13	1.121051	0.2	2.7	0.00E+00	0.00E+00
1.57	1.121051	0.2	2.7	0.00E+00	0.00E+00
2.01	1.121051	0.2	2.7	0.00E+00	0.00E+00
2.45	1.121051	0.2	2.7	0.00E+00	0.00E+00
2.89	1.121051	0.2	2.7	0.00E+00	0.00E+00
3.33	1.121051	0.2	2.7	0.00E+00	0.00E+00
